address,orientation,bearing,nearest_road,road_distance_m
"UNIT 308, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 316, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 206, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 131, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 216, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
10A THE OUTPOST,Unknown,,Morotai Crescent,0.0
"UNIT 3, 109 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 2, 109 PENSHURST STREET",Unknown,,Warners Avenue,0.01
79 FOURTH AVENUE,Unknown,,,0.0
73 FOURTH AVENUE,Unknown,,,0.0
71 FOURTH AVENUE,Unknown,,,0.0
7 FOURTH AVENUE,Unknown,,Eastern Valley Way,0.0
69 FOURTH AVENUE,Unknown,,,0.0
67 FOURTH AVENUE,Unknown,,Sugarloaf Crescent,0.0
66 FOURTH AVENUE,Unknown,,,0.0
61 FOURTH AVENUE,Unknown,,Sugarloaf Crescent,0.0
60 FOURTH AVENUE,Unknown,,Sugarloaf Crescent,0.0
6 FOURTH AVENUE,Unknown,,,0.0
59 FOURTH AVENUE,Unknown,,Sugarloaf Crescent,0.0
58 FOURTH AVENUE,Unknown,,Sugarloaf Crescent,0.0
"UNIT 125, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 66, 16 TRAFALGAR AVENUE",Unknown,,,0.04
6A BLIGH STREET,Unknown,,Sailors Bay Track,0.0
1A NOONBINNA CRESCENT,Unknown,,,0.0
1 NOONBINNA CRESCENT,Unknown,,,0.0
1 WEETAWAA ROAD,Unknown,,,0.01
10 WEETAWAA ROAD,Unknown,,,0.01
11 WEETAWAA ROAD,Unknown,,,0.01
12 WEETAWAA ROAD,Unknown,,,0.0
88A ALPHA ROAD,Unknown,,Morotai Crescent,0.01
23 COORABIN ROAD,Unknown,,,0.0
375 SAILORS BAY ROAD,Unknown,,,0.01
377 SAILORS BAY ROAD,Unknown,,,0.01
383 SAILORS BAY ROAD,Unknown,,,0.01
96 SAILORS BAY ROAD,Unknown,,Morotai Crescent,0.01
"UNIT 1, 12 AMAROO AVENUE",Unknown,,Harold Reid Foreshore Track,0.01
5A CLAFTON AVENUE,Unknown,,Sailors Bay Track,0.0
5 CLAFTON AVENUE,Unknown,,Sailors Bay Track,0.0
6 CLAFTON AVENUE,Unknown,,Sailors Bay Track,0.0
8 CLAFTON AVENUE,Unknown,,Sailors Bay Track,0.0
66 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
67 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
68 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
73 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
77 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
79 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
80 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
81 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
82 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
84 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
86 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
88 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
90 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
92 CLIFF AVENUE,Unknown,,Sailors Bay Track,0.01
47 MINIMBAH ROAD,Unknown,,,0.0
49 MINIMBAH ROAD,Unknown,,,0.0
5 MINIMBAH ROAD,Unknown,,,0.0
15 COOLAWIN ROAD,Unknown,,,0.01
16 COOLAWIN ROAD,Unknown,,,0.01
19 COOLAWIN ROAD,Unknown,,,0.01
21 COOLAWIN ROAD,Unknown,,,0.01
22 COOLAWIN ROAD,Unknown,,,0.01
24 COOLAWIN ROAD,Unknown,,,0.01
25 COOLAWIN ROAD,Unknown,,,0.01
26 COOLAWIN ROAD,Unknown,,,0.01
27 COOLAWIN ROAD,Unknown,,,0.01
28 COOLAWIN ROAD,Unknown,,,0.01
29 COOLAWIN ROAD,Unknown,,,0.01
32 COOLAWIN ROAD,Unknown,,,0.01
44 EASTERN VALLEY WAY,Unknown,,Morotai Crescent,0.0
46 EASTERN VALLEY WAY,Unknown,,Morotai Crescent,0.0
50 EASTERN VALLEY WAY,Unknown,,Morotai Crescent,0.0
"UNIT 1, 34 NAROOMA ROAD",Unknown,,Sailors Bay Track,0.0
"UNIT 411, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
10 BEGA ROAD,Unknown,,Sailors Bay Track,0.0
12 BEGA ROAD,Unknown,,,0.0
14 BEGA ROAD,Unknown,,,0.0
6 BEGA ROAD,Unknown,,Sailors Bay Track,0.0
7 BEGA ROAD,Unknown,,,0.0
9 BEGA ROAD,Unknown,,,0.0
"UNIT 418, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 130, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 116, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 1, 5 VICTORIA STREET",Unknown,,,0.03
"UNIT 203, 1 VICTORIA STREET",Unknown,,,0.03
2B FOUNDATION PLACE,Unknown,,Morotai Crescent,0.0
"UNIT 4, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 11, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 12, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 13, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 14, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 15, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 15, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 17, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 1, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 1, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 20, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 21, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 22, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 22, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 23, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 25, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 25, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 28, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 28, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 2, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 30, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 30, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 35, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 36, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 38, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 38, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 39, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 3, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 40, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 41, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 42, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 43, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 43, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 44, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 44, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 45, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 46, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 46, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 48, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 49, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 50, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 51, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 51, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 52, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 52, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 58, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 5, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 6, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 8, 17-25 BOUNDARY STREET",Unknown,,,0.03
"UNIT 8, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 9, 5-15 BOUNDARY STREET",Unknown,,,0.03
"UNIT 103, 9 VICTORIA STREET",Unknown,,,0.03
104 VICTORIA AVENUE,Unknown,,,0.01
36A STAN STREET,Unknown,,,0.01
2 FOUNDATION PLACE,Unknown,,Morotai Crescent,0.0
41 SMALL STREET,Unknown,,Morotai Crescent,0.01
43 SMALL STREET,Unknown,,Morotai Crescent,0.01
45 SMALL STREET,Unknown,,Morotai Crescent,0.01
59 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
"UNIT 2, 213-215 EASTERN VALLEY WAY",Unknown,,,0.0
213-215 EASTERN VALLEY WAY,Unknown,,,0.0
"LEVEL 1, 84 PENSHURST STREET",Unknown,,Warners Avenue,0.01
52B PENSHURST STREET,Unknown,,Warners Avenue,0.01
44A THE RAMPART,Unknown,,The Rampart,0.0
6 THE RAMPART,Unknown,,The Rampart,0.0
34 THE RAMPART,Unknown,,The Rampart,0.0
"UNIT 1, 58 PENSHURST STREET",Unknown,,Warners Avenue,0.01
2 CHARLES STREET,Unknown,,Charles Street,0.0
21 CHARLES STREET,Unknown,,Sunnyside Crescent,0.0
141 EASTERN VALLEY WAY,Unknown,,Sunnyside Crescent,0.0
"UNIT 1, 142 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 3, 136 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 1, 33 CAMBRIDGE STREET",Unknown,,,0.01
"UNIT 2, 26 LORD STREET",Unknown,,,0.03
22A EATON STREET,Unknown,,Warners Avenue,0.01
"UNIT 1, 82-84 EDINBURGH ROAD",Unknown,,Eastern Valley Way,0.0
"UNIT 5, 82-84 EDINBURGH ROAD",Unknown,,Eastern Valley Way,0.0
"UNIT 1, 50 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 1, 69 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 2, 81 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"SUITE 3, 108 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"SUITE 5, 108 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"SUITE 6, 108 PENSHURST STREET",Unknown,,Warners Avenue,0.01
114 PENSHURST STREET,Unknown,,Warners Avenue,0.01
71 PENSHURST STREET,Unknown,,Warners Avenue,0.01
45A ALPHA ROAD,Unknown,,Morotai Crescent,0.0
49B ALPHA ROAD,Unknown,,Morotai Crescent,0.0
46 EMERSTAN DRIVE,Unknown,,,0.0
"UNIT 11, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 15, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"SHOP 1, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 21, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 23, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 25, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 5, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 7, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 8, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 9, 56-58 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
116 EASTERN VALLEY WAY,Unknown,,,0.0
114 EASTERN VALLEY WAY,Unknown,,,0.0
112 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
110 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
106 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
104 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
102 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
171A HIGH STREET,Unknown,,,0.01
169 HIGH STREET,Unknown,,,0.01
112 SUGARLOAF CRESCENT,Unknown,,Sugarloaf Crescent,0.0
30 SUGARLOAF CRESCENT,Unknown,,Sugarloaf Crescent,0.0
31 SUGARLOAF CRESCENT,Unknown,,Sugarloaf Crescent,0.0
33 SUGARLOAF CRESCENT,Unknown,,Sugarloaf Crescent,0.0
34 SUGARLOAF CRESCENT,Unknown,,Sugarloaf Crescent,0.0
16 THE POSTERN,Unknown,,,0.0
"UNIT 2, 3 THE POSTERN",Unknown,,,0.0
"UNIT 4, 3 THE POSTERN",Unknown,,,0.0
4 THE POSTERN,Unknown,,,0.0
5 THE POSTERN,Unknown,,,0.0
30 ALEXANDER AVENUE,Unknown,,,0.01
27 ALEXANDER AVENUE,Unknown,,,0.01
24 ALEXANDER AVENUE,Unknown,,,0.01
22 ALEXANDER AVENUE,Unknown,,,0.01
21 ALEXANDER AVENUE,Unknown,,,0.01
29A CAMBRIDGE STREET,Unknown,,,0.01
26 CAMBRIDGE STREET,Unknown,,,0.01
17 DEEPWATER ROAD,Unknown,,,0.02
170 DEEPWATER ROAD,Unknown,,,0.01
171 DEEPWATER ROAD,Unknown,,Harold Reid Foreshore Track,0.01
173 DEEPWATER ROAD,Unknown,,Harold Reid Foreshore Track,0.01
20 DEEPWATER ROAD,Unknown,,,0.01
201 DEEPWATER ROAD,Unknown,,,0.01
203 DEEPWATER ROAD,Unknown,,,0.01
46 DEEPWATER ROAD,Unknown,,,0.01
47 DEEPWATER ROAD,Unknown,,,0.01
48 DEEPWATER ROAD,Unknown,,,0.01
49 DEEPWATER ROAD,Unknown,,,0.01
5 DEEPWATER ROAD,Unknown,,,0.02
161 HIGH STREET,Unknown,,,0.01
159 HIGH STREET,Unknown,,,0.01
143 HIGH STREET,Unknown,,,0.01
30 CAMBRIDGE STREET,Unknown,,,0.01
50 DEEPWATER ROAD,Unknown,,,0.01
51 DEEPWATER ROAD,Unknown,,,0.01
52 DEEPWATER ROAD,Unknown,,,0.01
53 DEEPWATER ROAD,Unknown,,,0.01
3 CAMBRIDGE STREET,Unknown,,,0.01
7 THE POSTERN,Unknown,,The Postern,0.0
23 THE RAMPART,Unknown,,,0.0
28 THE RAMPART,Unknown,,The Rampart,0.0
9 HOLLY STREET,Unknown,,,0.02
7 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
8 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
9 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
13 CAMMARAY ROAD,Unknown,,,0.01
15 CAMMARAY ROAD,Unknown,,,0.01
16 CAMMARAY ROAD,Unknown,,,0.01
18 CAMMARAY ROAD,Unknown,,,0.01
20 CAMMARAY ROAD,Unknown,,,0.01
22 CAMMARAY ROAD,Unknown,,,0.01
54 DEEPWATER ROAD,Unknown,,,0.01
55 DEEPWATER ROAD,Unknown,,,0.01
65 DEEPWATER ROAD,Unknown,,,0.01
67 DEEPWATER ROAD,Unknown,,,0.01
7 DEEPWATER ROAD,Unknown,,,0.02
71 DEEPWATER ROAD,Unknown,,,0.01
73 DEEPWATER ROAD,Unknown,,,0.01
76 DEEPWATER ROAD,Unknown,,Harold Reid Foreshore Track,0.01
36 DEEPWATER ROAD,Unknown,,,0.01
37 DEEPWATER ROAD,Unknown,,,0.02
38 DEEPWATER ROAD,Unknown,,,0.01
40 DEEPWATER ROAD,Unknown,,,0.01
43 DEEPWATER ROAD,Unknown,,,0.01
44 DEEPWATER ROAD,Unknown,,,0.01
60 DEEPWATER ROAD,Unknown,,,0.01
95 DEEPWATER ROAD,Unknown,,,0.01
96 DEEPWATER ROAD,Unknown,,Harold Reid Foreshore Track,0.01
62 STRATHALLEN AVENUE,Unknown,,Morotai Crescent,0.01
"UNIT 65, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
6 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
10 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
11 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
12 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
3 AMAROO AVENUE,Unknown,,Harold Reid Foreshore Track,0.01
8 DEEPWATER ROAD,Unknown,,,0.02
2 THE RAMPART,Unknown,,The Redoubt,0.0
20 THE RAMPART,Unknown,,The Rampart,0.0
21 THE RAMPART,Unknown,,,0.0
24 THE RAMPART,Unknown,,The Rampart,0.0
26 THE RAMPART,Unknown,,The Rampart,0.0
329G EASTERN VALLEY WAY,Unknown,,,0.02
333 EASTERN VALLEY WAY,Unknown,,,0.02
337 EASTERN VALLEY WAY,Unknown,,,0.02
339 EASTERN VALLEY WAY,Unknown,,,0.02
357 EASTERN VALLEY WAY,Unknown,,,0.02
363 EASTERN VALLEY WAY,Unknown,,,0.02
1 HEADLAND ROAD,Unknown,,,0.01
10 HEADLAND ROAD,Unknown,,,0.01
14 HEADLAND ROAD,Unknown,,,0.01
16 HEADLAND ROAD,Unknown,,,0.01
17 HEADLAND ROAD,Unknown,,,0.01
19 HEADLAND ROAD,Unknown,,,0.02
32 NEVILLE STREET,Unknown,,,0.01
30 NEVILLE STREET,Unknown,,,0.01
3 NEVILLE STREET,Unknown,,,0.01
22 HOLLYWOOD CRESCENT,Unknown,,Warners Avenue,0.01
37 ALEXANDER AVENUE,Unknown,,,0.01
5 EATON STREET,Unknown,,Warners Avenue,0.01
28 MOROTAI CRESCENT,Unknown,,Morotai Crescent,0.0
3 MOROTAI CRESCENT,Unknown,,Morotai Crescent,0.0
30 MOROTAI CRESCENT,Unknown,,,0.0
7 MOROTAI CRESCENT,Unknown,,Morotai Crescent,0.0
8 MOROTAI CRESCENT,Unknown,,Morotai Crescent,0.0
5 THE SCARP,Unknown,,P-28 Pathway,0.0
7 THE SCARP,Unknown,,P-28 Pathway,0.0
17 EATON STREET,Unknown,,Warners Avenue,0.01
21 EATON STREET,Unknown,,Warners Avenue,0.01
24 EATON STREET,Unknown,,Warners Avenue,0.01
1 LUCKNOW STREET,Unknown,,Warners Avenue,0.01
11 LUCKNOW STREET,Unknown,,Warners Avenue,0.01
15 LUCKNOW STREET,Unknown,,Warners Avenue,0.01
18 LUCKNOW STREET,Unknown,,Warners Avenue,0.01
2A LUCKNOW STREET,Unknown,,Warners Avenue,0.01
"UNIT 6, 3 THE POSTERN",Unknown,,,0.0
28 EATON STREET,Unknown,,Warners Avenue,0.01
29 EATON STREET,Unknown,,Warners Avenue,0.01
40 EATON STREET,Unknown,,Warners Avenue,0.01
42 EATON STREET,Unknown,,Warners Avenue,0.01
46 EATON STREET,Unknown,,Warners Avenue,0.01
6 EATON STREET,Unknown,,Warners Avenue,0.01
7 EATON STREET,Unknown,,Warners Avenue,0.01
9 EATON STREET,Unknown,,Warners Avenue,0.01
10 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
12 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
38 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
4 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
74 THE BULWARK,Unknown,,The Bulwark,0.0
75 THE BULWARK,Unknown,,,0.0
76 THE BULWARK,Unknown,,The Bulwark,0.0
77 THE BULWARK,Unknown,,,0.0
8A THE BULWARK,Unknown,,The Bulwark,0.0
63 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
64 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
66 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
68 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
69 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
210 SYDNEY STREET,Unknown,,,0.01
204 SYDNEY STREET,Unknown,,,0.01
200 SYDNEY STREET,Unknown,,,0.01
7 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
70 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
72 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
73 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
83 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
85 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
87 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
91 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
92 NEERIM ROAD,Unknown,,,0.01
93 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
96 NEERIM ROAD,Unknown,,,0.01
97 NEERIM ROAD,Unknown,,Harold Reid Foreshore Track,0.01
18 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
19 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
2A SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
2 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
22 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
23 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
24 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
25 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
27 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
29 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
30 SUNNYSIDE CRESCENT,Unknown,,Sunnyside Crescent,0.0
20 HEADLAND ROAD,Unknown,,,0.01
23 HEADLAND ROAD,Unknown,,,0.02
26 HEADLAND ROAD,Unknown,,Harold Reid Foreshore Track,0.01
27 HEADLAND ROAD,Unknown,,,0.02
198 SYDNEY STREET,Unknown,,,0.01
196 SYDNEY STREET,Unknown,,,0.01
192 SYDNEY STREET,Unknown,,,0.01
188 SYDNEY STREET,Unknown,,,0.01
184 SYDNEY STREET,Unknown,,,0.01
176 SYDNEY STREET,Unknown,,,0.01
174 SYDNEY STREET,Unknown,,,0.01
111 HIGH STREET,Unknown,,Warners Avenue,0.01
109 HIGH STREET,Unknown,,Warners Avenue,0.01
210 EASTERN VALLEY WAY,Unknown,,,0.0
77 TYNESIDE AVENUE,Unknown,,,0.01
75 TYNESIDE AVENUE,Unknown,,,0.01
74 TYNESIDE AVENUE,Unknown,,,0.01
204 EASTERN VALLEY WAY,Unknown,,,0.0
150 EASTERN VALLEY WAY,Unknown,,Sunnyside Crescent,0.0
148 EASTERN VALLEY WAY,Unknown,,Sunnyside Crescent,0.0
146 EASTERN VALLEY WAY,Unknown,,Sunnyside Crescent,0.0
5 HOLLYWOOD CRESCENT,Unknown,,Warners Avenue,0.01
48 HOLLYWOOD CRESCENT,Unknown,,Warners Avenue,0.01
46 HOLLYWOOD CRESCENT,Unknown,,Warners Avenue,0.01
11 HOLLYWOOD CRESCENT,Unknown,,Warners Avenue,0.01
1 HOLLYWOOD CRESCENT,Unknown,,Warners Avenue,0.01
"UNIT 1, 128A ARCHER STREET",Unknown,,,0.03
12A TRAFALGAR AVENUE,Unknown,,,0.04
12C TRAFALGAR AVENUE,Unknown,,,0.04
174A MOWBRAY ROAD,Unknown,,Warners Avenue,0.01
32 VICTORIA AVENUE,Unknown,,,0.01
30 VICTORIA AVENUE,Unknown,,,0.01
28A VICTORIA AVENUE,Unknown,,,0.01
99 SYDNEY STREET,Unknown,,Warners Avenue,0.01
67 TYNESIDE AVENUE,Unknown,,,0.01
66 TYNESIDE AVENUE,Unknown,,,0.01
65 TYNESIDE AVENUE,Unknown,,,0.01
63 TYNESIDE AVENUE,Unknown,,,0.01
62 TYNESIDE AVENUE,Unknown,,,0.01
61 TYNESIDE AVENUE,Unknown,,,0.01
60 TYNESIDE AVENUE,Unknown,,,0.01
6A TYNESIDE AVENUE,Unknown,,,0.0
59 TYNESIDE AVENUE,Unknown,,,0.01
55 TYNESIDE AVENUE,Unknown,,,0.01
52 TYNESIDE AVENUE,Unknown,,,0.01
48 TYNESIDE AVENUE,Unknown,,,0.01
46 TYNESIDE AVENUE,Unknown,,,0.01
40 TYNESIDE AVENUE,Unknown,,,0.01
4 TYNESIDE AVENUE,Unknown,,,0.0
4A TYNESIDE AVENUE,Unknown,,,0.0
12 TYNESIDE AVENUE,Unknown,,,0.0
10 TYNESIDE AVENUE,Unknown,,,0.0
20 HORSLEY AVENUE,Unknown,,,0.01
19 HORSLEY AVENUE,Unknown,,,0.01
"UNIT 1, 335 PENSHURST STREET",Unknown,,,0.01
311 EASTERN VALLEY WAY,Unknown,,,0.01
313 EASTERN VALLEY WAY,Unknown,,,0.01
315 EASTERN VALLEY WAY,Unknown,,,0.01
321 EASTERN VALLEY WAY,Unknown,,,0.01
325 EASTERN VALLEY WAY,Unknown,,,0.01
12 GLENROY AVENUE,Unknown,,,0.01
13 GLENROY AVENUE,Unknown,,,0.01
314 PENSHURST STREET,Unknown,,,0.01
14 GLENROY AVENUE,Unknown,,,0.01
15 GLENROY AVENUE,Unknown,,,0.01
16 GLENROY AVENUE,Unknown,,,0.01
"UNIT 104, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 105, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 108, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 10, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 111, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 113, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 12, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 13, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 18, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 19, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 21, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 22, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 25, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 26, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 29, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 30, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 31, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 32, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 33, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 36, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 37, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 40, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 41, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 43, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 44, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 45, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 48, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 50, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 53, 384 EASTERN VALLEY WAY",Unknown,,,0.02
"UNIT 54, 384 EASTERN VALLEY WAY",Unknown,,,0.02
