address,orientation,bearing,nearest_road,road_distance_m
12 BROMBOROUGH ROAD,Unknown,,,0.04
14 BROMBOROUGH ROAD,Unknown,,,0.04
15 BROMBOROUGH ROAD,Unknown,,,0.04
17 BROMBOROUGH ROAD,Unknown,,,0.04
18 BROMBOROUGH ROAD,Unknown,,,0.04
"UNIT 7, 134 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 8, 134 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 5, 154 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 7, 154 PACIFIC HIGHWAY",Unknown,,,0.04
7 EDITH STREET,Unknown,,Edith Street,0.0
32B REMBRANDT DRIVE,Unknown,,,0.0
279 EASTERN VALLEY WAY,Unknown,,,0.01
281 EASTERN VALLEY WAY,Unknown,,,0.01
285 EASTERN VALLEY WAY,Unknown,,,0.01
"APARTMENT 506B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 402, 11 VICTORIA STREET",Unknown,,,0.03
"UNIT 1, 11 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 303B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 302, 11 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 406B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"APARTMENT 310A, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 206, 9 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 205B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 207, 9 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 308B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"APARTMENT 403B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"APARTMENT 204A, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 403, 11 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 404B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 203, 11 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 402A, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 3, 42 FRENCHS ROAD",Unknown,,Morotai Crescent,0.01
1 HARBOUR LANE,Unknown,,Harold Reid Foreshore Track,0.0
"UNIT 1, 1A ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 2, 1A ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 3, 1A ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 4, 1A ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 15, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 16, 55 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 21, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 22, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 26, 55 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 36, 180 PACIFIC HIGHWAY",Unknown,,,0.04
124-130 PACIFIC HIGHWAY,Unknown,,,0.04
86A MACQUARIE STREET,Unknown,,,0.02
124 PACIFIC HIGHWAY,Unknown,,,0.04
3B MELNOTTE AVENUE,Unknown,,,0.03
30 GRIFFITH AVENUE,Unknown,,,0.02
5A TUNKS STREET,Unknown,,Sailors Bay Track,0.01
42 ARCHBOLD ROAD,Unknown,,,0.03
"UNIT 16, 6-10 CHURCH STREET",Unknown,,,0.01
"UNIT 15, 6-10 CHURCH STREET",Unknown,,,0.01
"UNIT 14, 6-10 CHURCH STREET",Unknown,,,0.01
"UNIT 13, 6-10 CHURCH STREET",Unknown,,,0.01
"UNIT 12, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 13, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 16, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 18, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 13, 6 VICTORIA STREET",Unknown,,,0.03
"UNIT 207, 7 VICTORIA STREET",Unknown,,,0.03
"UNIT 8, 1 VICTORIA STREET",Unknown,,,0.03
"UNIT 202, 1 VICTORIA STREET",Unknown,,,0.03
10A THE POSTERN,Unknown,,,0.0
"UNIT 10, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 11, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 12, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 13, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 14, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 1, 8 NOLA ROAD",Unknown,,,0.03
"UNIT 2, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 2, 12 NOLA ROAD",Unknown,,,0.03
"UNIT 3, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 3, 8 NOLA ROAD",Unknown,,,0.03
"UNIT 4, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 5, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 5, 12 NOLA ROAD",Unknown,,,0.03
"UNIT 6, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 7, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 7, 12 NOLA ROAD",Unknown,,,0.03
"UNIT 8, 12 NOLA ROAD",Unknown,,,0.03
"UNIT 9, 10 NOLA ROAD",Unknown,,,0.03
"UNIT 9, 12 NOLA ROAD",Unknown,,,0.03
